iter	Passed	Remaining
654	9507	5007
655	9520	4992
656	9534	4977
657	9548	4962
658	9562	4948
659	9577	4933
660	9590	4918
661	9604	4903
662	9618	4889
663	9632	4874
664	9646	4859
665	9661	4845
666	9675	4830
667	9689	4815
668	9703	4800
669	9716	4785
670	9730	4771
671	9744	4756
672	9758	4741
673	9772	4726
674	9785	4711
675	9800	4697
676	9814	4682
677	9828	4667
678	9842	4652
679	9856	4638
680	9870	4623
681	9883	4608
682	9896	4593
683	9911	4578
684	9925	4564
685	9940	4549
686	9954	4535
687	9969	4520
688	9983	4506
689	9997	4491
690	10011	4476
691	10024	4461
692	10039	4447
693	10053	4432
694	10067	4418
695	10082	4403
696	10096	4389
697	10110	4374
698	10123	4359
699	10137	4344
700	10151	4330
701	10165	4315
702	10178	4300
703	10192	4285
704	10206	4270
705	10220	4256
706	10234	4241
707	10247	4226
708	10261	4211
709	10274	4196
710	10288	4181
711	10301	4167
712	10315	4152
713	10329	4137
714	10343	4122
715	10356	4107
716	10370	4093
717	10383	4078
718	10397	4063
719	10410	4048
720	10424	4034
721	10438	4019
722	10452	4004
723	10466	3990
724	10481	3975
725	10495	3961
726	10509	3946
727	10523	3931
728	10538	3917
729	10552	3903
730	10566	3888
731	10580	3873
732	10594	3859
733	10607	3844
734	10621	3829
735	10634	3814
736	10648	3800
737	10661	3785
738	10675	3770
739	10688	3755
740	10702	3740
741	10715	3725
742	10729	3711
743	10743	3696
744	10756	3681
745	10770	3667
746	10784	3652
747	10797	3637
748	10811	3622
749	10824	3608
750	10838	3593
751	10855	3579
752	10869	3565
753	10883	3550
754	10897	3536
755	10910	3521
756	10924	3506
757	10937	3491
758	10951	3477
759	10966	3463
760	10980	3448
761	10995	3434
762	11009	3419
763	11024	3405
764	11038	3391
765	11052	3376
766	11067	3362
767	11081	3347
768	11095	3332
769	11109	3318
770	11122	3303
771	11136	3289
772	11149	3274
773	11164	3259
774	11178	3245
775	11191	3230
776	11205	3215
777	11219	3201
778	11232	3186
779	11245	3171
780	11259	3157
781	11274	3142
782	11287	3128
783	11301	3113
784	11315	3099
785	11328	3084
786	11343	3070
787	11357	3055
788	11371	3041
789	11386	3026
790	11399	3012
791	11413	2997
792	11427	2983
793	11441	2968
794	11455	2953
795	11470	2939
796	11483	2924
797	11497	2910
798	11511	2895
799	11526	2881
800	11540	2866
801	11554	2852
802	11568	2838
803	11582	2823
804	11597	2809
805	11611	2794
806	11625	2780
807	11639	2765
808	11653	2751
809	11666	2736
810	11680	2722
811	11694	2707
812	11708	2693
813	11722	2678
814	11737	2664
815	11751	2649
816	11765	2635
817	11779	2620
818	11794	2606
819	11808	2592
820	11822	2577
821	11836	2563
822	11849	2548
823	11863	2534
824	11877	2519
825	11890	2504
826	11904	2490
827	11918	2475
828	11933	2461
829	11947	2447
830	11961	2432
831	11975	2418
832	11990	2403
833	12004	2389
834	12018	2374
835	12035	2360
836	12049	2346
837	12066	2332
838	12079	2318
839	12094	2303
840	12107	2289
841	12120	2274
842	12134	2260
843	12149	2245
844	12162	2231
845	12176	2216
846	12189	2201
847	12203	2187
848	12217	2172
849	12230	2158
850	12243	2143
851	12258	2129
852	12273	2115
853	12287	2100
854	12300	2086
855	12314	2071
856	12330	2057
857	12344	2042
858	12358	2028
859	12372	2014
860	12386	1999
861	12400	1985
862	12414	1970
863	12428	1956
864	12441	1941
865	12454	1927
866	12468	1912
867	12482	1898
868	12496	1883
869	12509	1869
870	12523	1854
871	12536	1840
872	12549	1825
873	12563	1811
874	12577	1796
875	12591	1782
876	12606	1768
877	12620	1753
878	12633	1739
879	12647	1724
880	12660	1710
881	12674	1695
882	12687	1681
883	12701	1666
884	12715	1652
885	12728	1637
886	12742	1623
887	12757	1609
888	12771	1594
889	12786	1580
890	12800	1565
891	12813	1551
892	12827	1537
893	12841	1522
894	12855	1508
895	12868	1493
896	12882	1479
897	12896	1464
898	12910	1450
899	12924	1436
900	12938	1421
901	12952	1407
902	12966	1392
903	12980	1378
904	12994	1364
905	13009	1349
906	13023	1335
907	13037	1320
908	13050	1306
909	13064	1292
910	13078	1277
911	13092	1263
912	13105	1248
913	13120	1234
914	13134	1220
915	13148	1205
916	13162	1191
917	13175	1176
918	13188	1162
919	13201	1147
920	13214	1133
921	13228	1119
922	13242	1104
923	13256	1090
924	13269	1075
925	13283	1061
926	13297	1047
927	13310	1032
928	13325	1018
929	13339	1004
930	13352	989
931	13366	975
932	13379	960
933	13393	946
934	13407	932
935	13422	917
936	13436	903
937	13451	889
938	13467	874
939	13481	860
940	13495	846
941	13509	831
942	13523	817
943	13537	803
944	13551	788
945	13565	774
946	13578	759
947	13592	745
948	13606	731
949	13620	716
950	13634	702
951	13648	688
952	13662	673
953	13676	659
954	13690	645
955	13704	630
956	13717	616
957	13732	602
958	13746	587
959	13761	573
960	13775	559
961	13789	544
962	13802	530
963	13815	515
964	13829	501
965	13843	487
966	13857	472
967	13870	458
968	13886	444
969	13900	429
970	13914	415
971	13928	401
972	13943	386
973	13957	372
974	13971	358
975	13986	343
976	14000	329
977	14014	315
978	14027	300
979	14041	286
980	14055	272
981	14068	257
982	14083	243
983	14097	229
984	14111	214
985	14124	200
986	14137	186
987	14152	171
988	14166	157
989	14179	143
990	14193	128
991	14208	114
992	14222	100
993	14236	85
994	14249	71
995	14263	57
996	14277	42
997	14290	28
998	14305	14
999	14318	0
