iter	RMSE
378	0.5999636518
379	0.5993494446
380	0.598454404
381	0.5980568156
382	0.5970718507
383	0.5962990281
384	0.5952656903
385	0.5944499673
386	0.5944001264
387	0.5938291524
388	0.5937752099
389	0.5929871481
390	0.592393475
391	0.591764599
392	0.5911561233
393	0.5905559489
394	0.5901235921
395	0.5895840509
396	0.588763935
397	0.5883761028
398	0.5877242413
399	0.5866340054
400	0.5859142127
401	0.5853209925
402	0.5843161137
403	0.5837284677
404	0.582836551
405	0.5820217259
406	0.5818194016
407	0.5810725733
408	0.580175404
409	0.5793925592
410	0.578822957
411	0.5784056423
412	0.5780310451
413	0.5772833752
414	0.5764647164
415	0.5760926122
416	0.5756737428
417	0.5750906728
418	0.5746210454
419	0.5737756749
420	0.5737265903
421	0.5728169861
422	0.572084609
423	0.5711943037
424	0.5703603429
425	0.5694026972
426	0.5685773515
427	0.5679735476
428	0.5679338329
429	0.5676553271
430	0.5672908503
431	0.5662929102
432	0.5657446643
433	0.5656846077
434	0.5647913484
435	0.5639774351
436	0.563019717
437	0.5622838201
438	0.5617085812
439	0.5610656253
440	0.5610277331
441	0.5603344645
442	0.559846406
443	0.5591739538
444	0.5585999829
445	0.5581409575
446	0.5576786359
447	0.5571542427
448	0.5564691158
449	0.5555698641
450	0.5546655877
451	0.5539291145
452	0.553465951
453	0.5527855781
454	0.5521563129
455	0.5512930427
456	0.5503908438
457	0.5502458133
458	0.5492512416
459	0.54854423
460	0.5478338293
461	0.5474081028
462	0.5467758266
463	0.5462532865
464	0.5456569938
465	0.5451075253
466	0.54499149
467	0.5442014818
468	0.5435471976
469	0.5430100446
470	0.5426299972
471	0.5425234068
472	0.5419205193
473	0.5413906816
474	0.5405995077
475	0.5398152235
476	0.5390326035
477	0.5384820252
478	0.5379693689
479	0.5375507056
480	0.5370953131
481	0.5364303034
482	0.535988207
483	0.5355206203
484	0.5349819973
485	0.5348912392
486	0.5342235472
487	0.5337655808
488	0.53319701
489	0.5329350348
490	0.5328526026
491	0.5321770525
492	0.5314699233
493	0.5307468834
494	0.530087474
495	0.5296403361
496	0.5290037672
497	0.5283044371
498	0.5278280194
499	0.5270254072
500	0.5262350082
501	0.5256343445
502	0.5249942735
503	0.5244475304
504	0.5238018011
505	0.5233124252
506	0.5228766047
507	0.5224984694
508	0.5217651851
509	0.5210151148
510	0.5205006687
511	0.5198390886
512	0.5197742529
513	0.5191085122
514	0.5186974321
515	0.5180897109
516	0.5175879913
517	0.5172006986
518	0.5166319791
519	0.5159323677
520	0.5154590443
521	0.5148803953
522	0.5142641978
523	0.5135397098
524	0.5129058289
525	0.5123743506
526	0.5119393503
527	0.5111719588
528	0.5103543189
529	0.5096407138
530	0.5093829693
531	0.5092197422
532	0.5086272919
533	0.5079391129
534	0.5074900607
535	0.5069951836
536	0.5064124408
537	0.5059618563
538	0.5052661862
539	0.5048816755
540	0.5041917719
541	0.5035868671
542	0.5028354384
543	0.5023104217
544	0.5018550504
545	0.5012317587
546	0.5007130518
547	0.5003911264
548	0.5000106647
549	0.4995717171
550	0.4988847941
551	0.4982133274
552	0.4981299898
553	0.4978022942
554	0.4973536811
555	0.4972507488
556	0.4967148522
557	0.4960224257
558	0.4959353241
559	0.4951345856
560	0.4949955511
561	0.4944839415
562	0.4942608509
563	0.4937765263
564	0.4934583524
565	0.4930063275
566	0.4924491491
567	0.4918253503
568	0.4914253333
569	0.4909535923
570	0.490887966
571	0.4903454172
572	0.489786277
573	0.4892213827
574	0.4888599594
575	0.4884848526
576	0.4880545857
577	0.4877449266
578	0.4871843914
579	0.4864000716
580	0.4857643104
581	0.48571023
582	0.4852460635
583	0.4848377076
584	0.4845188591
585	0.4837764296
586	0.4831174299
587	0.4830910163
588	0.4825916223
589	0.482023154
590	0.4813720481
591	0.4813480725
592	0.4806063022
593	0.4798674097
594	0.4792855424
595	0.4788425696
596	0.4783398296
597	0.477941934
598	0.4775346127
599	0.4774076973
600	0.4769046808
601	0.4763022888
602	0.476235985
603	0.4756231983
604	0.4750185749
605	0.4749721016
606	0.4746342325
607	0.4742668123
608	0.4736722535
609	0.4731906209
610	0.472663767
611	0.4725249534
612	0.4722668406
613	0.4717601695
614	0.471464114
615	0.4710210854
616	0.470969723
617	0.4703088057
618	0.4702513591
619	0.4698188408
620	0.4694620706
621	0.4692360172
622	0.468772629
623	0.4683068177
624	0.4679269078
625	0.4675398569
626	0.4673228148
627	0.4666368613
628	0.4660368707
629	0.465508797
630	0.4651746722
631	0.4645302345
632	0.4638597881
633	0.4634099724
634	0.4630234005
635	0.462242345
636	0.4617427684
637	0.4611857066
638	0.4604554284
639	0.4602095708
640	0.4596199762
641	0.4589810447
642	0.4586584927
643	0.4580700644
644	0.4580079585
645	0.4573995479
646	0.4567801486
647	0.4563552286
648	0.455787052
649	0.4554884117
650	0.454954
651	0.4545220862
652	0.4539875904
653	0.4534773518
654	0.4530245131
655	0.4527749281
656	0.4522736787
657	0.451730224
658	0.4511402877
659	0.4506949653
660	0.4504112693
661	0.4498192232
662	0.4494771271
663	0.4490390011
664	0.4486117507
665	0.4479759149
666	0.4477238075
667	0.4471718442
668	0.4468272007
669	0.4463132959
670	0.4457917447
671	0.4452075448
672	0.4451212866
673	0.4444043427
674	0.4443355496
675	0.4439701133
676	0.4434797225
677	0.4428629376
678	0.4425489755
679	0.4418130127
680	0.4414076801
681	0.4409503604
682	0.4405552933
683	0.4400107936
684	0.4398786711
685	0.4393315131
686	0.438553117
687	0.438109025
688	0.4376260874
689	0.4370633852
690	0.4369185695
691	0.436785793
692	0.4361929849
693	0.435894635
694	0.4354304952
695	0.4349890218
696	0.4346417252
697	0.4343140539
698	0.4337430226
699	0.4333457609
700	0.4329195436
701	0.4325881766
702	0.431968447
703	0.4314116597
704	0.431149143
705	0.4306422193
706	0.4305455528
707	0.4304919537
708	0.4298315198
709	0.4292591908
710	0.4287572538
711	0.4283699787
712	0.4282570293
713	0.4275311621
714	0.4272476936
715	0.4269297375
716	0.42649216
717	0.4263327051
718	0.4259956217
719	0.4256928633
720	0.4253032924
721	0.424890816
722	0.4245455669
723	0.4243247393
724	0.4239112157
725	0.4238910995
726	0.4235954334
727	0.4231627408
728	0.4227581741
729	0.4223003337
730	0.4216417611
731	0.4209967355
732	0.4204920926
733	0.420216244
734	0.4198013842
735	0.4192350667
736	0.4188276725
737	0.4187393021
738	0.4183637796
739	0.4182087566
740	0.4178010939
741	0.4177529859
742	0.4173593758
743	0.4169875923
744	0.4167673977
745	0.4164027459
746	0.4160648444
747	0.4154566534
748	0.41514181
749	0.4150811178
750	0.414911776
751	0.4145333043
752	0.4141346473
753	0.4137185614
754	0.4132174829
755	0.4127279384
756	0.4122710843
757	0.4118897142
758	0.4115906932
759	0.4112737965
760	0.4107420656
761	0.4103503653
762	0.4099012169
763	0.409384083
764	0.409128508
765	0.4087712041
766	0.408616254
767	0.4082966887
768	0.407943586
769	0.4075982094
770	0.4072273959
771	0.4068318539
772	0.4065337332
773	0.4058513679
774	0.4058209886
775	0.4053221374
776	0.4051622277
777	0.4048941756
778	0.4043605041
779	0.4041606969
780	0.4036564275
781	0.4033236031
782	0.4028743706
783	0.4024956073
784	0.4021495092
785	0.4018165071
786	0.4012788699
787	0.4008900439
788	0.4006047856
789	0.4001199792
790	0.3999110494
791	0.3994559065
792	0.3990532117
793	0.399019803
794	0.3985333072
795	0.3981550497
796	0.3979770525
797	0.3976496184
798	0.3972487208
799	0.3969544977
800	0.3966485157
801	0.3963355343
802	0.3959568621
803	0.3954534481
804	0.395200415
805	0.3948774128
806	0.3946743457
807	0.3943932145
808	0.3939555222
809	0.3937930233
810	0.3932761948
811	0.3928605304
812	0.3922658252
813	0.3919436131
814	0.3914541199
815	0.3912384154
816	0.3908924166
817	0.3905732364
818	0.3901852096
819	0.3898099618
820	0.3895486545
821	0.3895064613
822	0.3892160596
823	0.3888091909
824	0.388491841
825	0.3881117117
826	0.387789884
827	0.3874495738
828	0.3869232306
829	0.3866064213
830	0.3862263205
831	0.3860821844
832	0.3857294926
833	0.3854579967
834	0.3850669899
835	0.384803799
836	0.3846470281
837	0.384427917
838	0.3842129781
839	0.3836875895
840	0.3834763133
841	0.3831784205
842	0.3828683502
843	0.3824823459
844	0.3820072581
845	0.3817720383
846	0.3814883177
847	0.3812078959
848	0.3808837032
849	0.3808535993
850	0.3804342662
851	0.3802075108
852	0.3796783395
853	0.3794241515
854	0.3789667538
855	0.3787325371
856	0.3784561483
857	0.3781140815
858	0.3777775123
859	0.3773226148
860	0.3769646038
861	0.3765365832
862	0.3760559635
863	0.3756185012
864	0.3753716851
865	0.3750679706
866	0.374769538
867	0.374208641
868	0.3738971467
869	0.3734989751
870	0.3730433943
871	0.3730028313
872	0.3726153959
873	0.3725100875
874	0.3723190905
875	0.3721860255
876	0.3718538713
877	0.3715038685
878	0.3711652516
879	0.370815942
880	0.3704739984
881	0.3700409545
882	0.3699004372
883	0.3693484489
884	0.3689609535
885	0.3687615376
886	0.3684178956
887	0.3680492643
888	0.3679657808
889	0.3674389465
890	0.3671789598
891	0.3669500015
892	0.3667642805
893	0.3664170803
894	0.3658995637
895	0.365498496
896	0.3652743849
897	0.3649341162
898	0.3644813134
899	0.3641877612
900	0.3637987004
901	0.3637489879
902	0.3632804462
903	0.3630359607
904	0.3627756175
905	0.362551135
906	0.3621407471
907	0.361930317
908	0.3618156452
909	0.3614230943
910	0.3610823018
911	0.3605954027
912	0.3604852757
913	0.3599460178
914	0.3595943419
915	0.3590895979
916	0.3586585292
917	0.3585558683
918	0.358349731
919	0.3583011281
920	0.3579231475
921	0.3574164496
922	0.3570544916
923	0.3565960551
924	0.3562790087
925	0.3558605031
926	0.3555871961
927	0.3551561045
928	0.3549381485
929	0.354466156
930	0.3541708882
931	0.3536255919
932	0.3534004024
933	0.3531663294
934	0.352988262
935	0.3526409603
936	0.352521431
937	0.352154629
938	0.351775449
939	0.3515013048
940	0.3512686805
941	0.3508087792
942	0.3502836742
943	0.3498699995
944	0.3496367816
945	0.3493480175
946	0.3491908688
947	0.3489982348
948	0.3486881344
949	0.3484313203
950	0.3482480133
951	0.3477627966
952	0.3475306743
953	0.3470391001
954	0.3466603355
955	0.3464136811
956	0.3461543388
957	0.3459363474
958	0.3456449068
959	0.3453449295
960	0.3449477644
961	0.3446565553
962	0.3444539448
963	0.3441881498
964	0.3439319721
965	0.343565935
966	0.3431829033
967	0.3430655832
968	0.3426547394
969	0.3423761608
970	0.3420967797
971	0.3419802827
972	0.3416638924
973	0.3413543407
974	0.3412538887
975	0.3408830902
976	0.3405916003
977	0.340314699
978	0.3400271249
979	0.3396192822
980	0.3392453446
981	0.3390853816
982	0.3386954547
983	0.3383559213
984	0.3379943374
985	0.3378255186
986	0.3377412959
987	0.3372711573
988	0.336774692
989	0.336439205
990	0.3361121804
991	0.335916602
992	0.3355574352
993	0.335257762
994	0.334874951
995	0.3346437655
996	0.3343407247
997	0.3341045774
998	0.3338055006
999	0.3335635905
